clean_symbol,token,lotsize,tick_size
BBETF0INAV,10021,1,1.000000
SETF10INAV,10155,1,1.000000
BALKRISHNA,10181,1,1.000000
FINPIPE,1041,1,1.000000
NAVKARCORP,10557,1,1.000000
PNB,10666,1,1.000000
SILVERADD,10761,1,1.000000
MARUTI,10999,1,100.000000
INFOBEAN,11027,1,1.000000
BANKIETF,11037,1,1.000000
CNL,11155,1,5.000000
COFFEEDAY,11165,1,1.000000
JAIBALAJI,11256,1,1.000000
WELSPUNLIV,11253,1,1.000000
HDFCVALUE,11260,1,1.000000
DREDGECORP,11271,1,5.000000
APOLLO,1134,1,1.000000
LICNETFN50,11319,1,1.000000
MAHABANK,11377,1,1.000000
CCL,11452,1,10.000000
EXCELINDUS,11471,1,5.000000
LINCOLN,11596,1,5.000000
KOTARISUG,11647,1,1.000000
XCHANGING,11705,1,1.000000
GRANULES,11872,1,5.000000
FMGOETZE,1190,1,5.000000
DCXINDIA,11895,1,1.000000
GEOJITFSL,11896,1,1.000000
SPLIL,11935,1,1.000000
SYNCOMF,11992,1,1.000000
HDFCPVTBAN,12108,1,1.000000
HNDFDS,12173,1,5.000000
INOXGREEN,12188,1,1.000000
GRASIM,1232,1,10.000000
GREAVESCOT,1235,1,1.000000
GSFC,1247,1,1.000000
ROUTE,128,1,5.000000
DSPQ50INAV,10005,1,1.000000
EBBE30INAV,10016,1,1.000000
SETFNIF50,10176,1,1.000000
CSLFINANCE,10350,1,1.000000
CONS,10512,1,1.000000
SHARDAMOTR,10530,1,5.000000
HDFCNIF100,10633,1,1.000000
FOSECOIND,1073,1,10.000000
OLECTRA,10637,1,5.000000
NOIDATOLL,10786,1,1.000000
RADAAN,10932,1,1.000000
JUNIORBEES,10939,1,1.000000
IDFCFIRSTB,11184,1,1.000000
BAGFILMS,11226,1,1.000000
GHCL,1127,1,5.000000
JSL,11236,1,5.000000
NSIL,11239,1,10.000000
HDFCGROWTH,11241,1,1.000000
GICHSGFIN,1139,1,1.000000
POONAWALLA,11403,1,5.000000
NV20,11457,1,1.000000
GLAXO,1153,1,10.000000
AMBICAAGAR,11496,1,1.000000
WESTLIFE,11580,1,5.000000
GMBREW,1168,1,5.000000
ASTRAMICRO,11618,1,5.000000
ALKEM,11703,1,50.000000
GOYALALUM,11787,1,1.000000
MANINDS,11884,1,5.000000
YESBANK,11915,1,1.000000
HTMEDIA,11979,1,1.000000
GODREJCP,10099,1,5.000000
MOM50INAV,10127,1,1.000000
FEDERALBNK,1023,1,5.000000
AYMSYNTEX,10285,1,1.000000
UNITDSPR,10447,1,10.000000
HDF100INAV,10583,1,1.000000
OFSS,10738,1,50.000000
UNIONBANK,10753,1,1.000000
MOQUALITY,10822,1,1.000000
GVPTECH,10865,1,1.000000
TMB,10945,1,5.000000
RADICO,10990,1,10.000000
DCMNVL,11039,1,1.000000
KSOLVES,11060,1,1.000000
HARSHA,11162,1,5.000000
INDIGO,11195,1,10.000000
PTC,11355,1,1.000000
PVTBANIETF,11386,1,1.000000
RKFORGE,11411,1,5.000000
KRIDHANINF,11480,1,1.000000
LT,11483,1,10.000000
GULFPETRO,11581,1,1.000000
HDFCNIFTY,11591,1,1.000000
WELENT,11626,1,5.000000
INDOCO,11677,1,1.000000
ACEINTEG,11779,1,1.000000
